Property_Type,Total_Area_sqft,Num_Rooms,Num_Dining_Area,Num_Washrooms,Num_Balconies,Floor_Level,Year_Built,Price_per_sqft,Estimated_Price,Category
Apartment,2395,7,1,1,2,3,2011,4000,9983500,Standard
Apartment,816,3,0,3,0,17,1991,4000,3487500,Standard
House,1134,3,0,4,0,3,2021,3500,4237500,Standard
House,2425,2,2,3,3,16,2006,3500,8713500,Standard
Bungalow,2556,1,2,4,0,1,1989,5000,12932500,Standard
Apartment,3644,5,1,2,3,1,2021,4000,14929500,Standard
House,2770,1,1,1,3,11,2011,3500,9813500,Standard
Flat,1939,4,0,4,1,5,2021,3000,6150500,Standard
Flat,1052,4,2,1,2,9,2005,3000,3406500,Standard
House,1215,6,1,3,0,15,2004,3500,4632500,Standard
House,4411,2,1,2,1,13,1990,3500,15596500,Luxury
Apartment,2213,2,1,1,0,6,2002,4000,8971000,Standard
Apartment,3889,2,1,2,3,18,2013,4000,15755500,Luxury
Bungalow,1607,6,1,1,0,16,2019,5000,8362500,Standard
Apartment,4706,4,1,3,2,8,2002,4000,19133000,Luxury
Flat,750,1,0,3,3,12,2008,3000,2427000,Standard
Flat,2930,6,2,2,3,4,2010,3000,9188000,Standard
House,2554,6,2,3,1,4,1986,3500,9325000,Standard
Apartment,958,1,1,4,2,9,2019,4000,4029500,Standard
Bungalow,707,2,2,1,3,9,2012,5000,3704000,Standard
Flat,1399,5,2,3,2,6,2000,3000,4555000,Standard
Flat,3961,1,2,4,0,14,1981,3000,12031500,Standard
Bungalow,3885,4,1,2,2,6,1997,5000,19701500,Luxury
Bungalow,521,3,1,4,3,14,2012,5000,2914000,Standard
Flat,909,3,2,2,1,2,2016,3000,2948000,Standard
Flat,1394,7,2,2,3,18,2013,3000,4631500,Standard
Bungalow,1014,7,1,1,2,9,1999,5000,5467500,Standard
Flat,4609,6,0,1,2,14,2014,3000,14182000,Standard
House,2634,3,2,4,3,2,1997,3500,9520500,Standard
House,4095,5,0,1,2,5,2003,3500,14632000,Standard
Bungalow,3456,2,2,1,0,11,1987,5000,17391500,Luxury
Apartment,2060,4,0,1,3,14,2009,4000,8507500,Standard
Bungalow,1766,7,0,4,1,5,2023,5000,9314500,Standard
Bungalow,2669,5,0,3,3,12,1989,5000,13712500,Standard
Apartment,4138,4,1,1,0,18,2002,4000,16771000,Luxury
Apartment,1249,4,0,1,0,2,1990,4000,5209000,Standard
Apartment,3927,2,0,4,0,7,1981,4000,15906500,Luxury
House,2427,6,0,3,0,7,2005,3500,8875000,Standard
Flat,4304,3,2,1,0,19,2015,3000,13087500,Standard
House,4202,2,0,2,1,14,2012,3500,14876000,Standard
Flat,2856,5,2,4,2,3,1992,3000,8952000,Standard
House,2835,6,0,1,0,18,2019,3500,10250000,Standard
Flat,806,5,0,1,0,2,2004,3000,2688000,Standard
House,4165,6,1,2,3,12,1983,3500,14962000,Standard
Apartment,2489,7,2,2,1,7,2021,4000,10379500,Standard
Bungalow,1161,5,0,4,1,15,1998,5000,6177000,Standard
House,811,2,2,4,2,12,1997,3500,3075000,Standard
Flat,3420,6,2,2,1,2,2016,3000,10631000,Standard
Apartment,1582,6,1,4,3,15,2009,4000,6785500,Standard
House,3471,4,1,2,3,8,1998,3500,12440500,Standard
House,1254,4,1,1,2,13,2002,3500,4638000,Standard
Apartment,4630,1,1,2,3,12,1995,4000,18660500,Luxury
House,852,5,1,2,0,6,1980,3500,3270000,Standard
Bungalow,1402,4,1,3,0,14,1991,5000,7283500,Standard
House,4388,1,1,2,3,6,2003,3500,15502500,Luxury
Bungalow,658,7,1,2,2,5,2013,5000,3724500,Standard
Bungalow,2477,7,0,3,1,1,1987,5000,12821500,Standard
Apartment,1456,4,2,4,2,8,1997,4000,6160500,Standard
House,2571,5,1,3,1,16,1984,3500,9333500,Standard
Apartment,903,6,1,1,3,4,2005,4000,3977500,Standard
House,3279,3,2,3,3,11,2009,3500,11754000,Standard
House,1887,5,0,1,0,0,1992,3500,6868500,Standard
Flat,3953,2,2,4,1,9,1998,3000,12081000,Standard
House,1455,7,2,3,2,10,2008,3500,5554500,Standard
Apartment,2212,4,1,3,3,15,1982,4000,9162000,Standard
Bungalow,1773,4,2,4,2,13,2005,5000,9205500,Standard
House,4311,6,2,1,0,7,2019,3500,15416000,Luxury
Flat,3125,2,1,3,1,16,1991,3000,9563500,Standard
Apartment,2882,6,1,1,1,17,1981,4000,11851500,Standard
House,1941,2,1,3,3,11,1990,3500,7011500,Standard
Apartment,3479,3,1,2,1,16,2023,4000,14140500,Standard
Flat,2297,7,2,3,3,13,2007,3000,7367500,Standard
Flat,4890,4,2,4,0,15,1997,3000,14976500,Standard
Apartment,4509,4,0,4,1,13,1992,4000,18355000,Luxury
House,1894,3,0,1,3,8,2016,3500,6850000,Standard
Bungalow,4781,1,2,3,2,3,2001,5000,24063500,Luxury
Flat,1769,7,0,1,3,10,1991,3000,5715500,Standard
House,4214,6,2,1,1,5,1981,3500,15072500,Luxury
House,1029,3,0,2,0,14,2016,3500,3807500,Standard
Bungalow,4123,6,1,2,1,4,1986,5000,20971000,Luxury
Flat,3458,5,0,4,1,10,2005,3000,10749500,Standard
Flat,3414,4,1,1,3,17,2005,3000,10507500,Standard
House,4091,6,1,4,2,12,2003,3500,14758000,Standard
House,2647,2,1,3,1,10,1991,3500,9453000,Standard
Bungalow,3869,6,1,1,2,13,1995,5000,19690500,Luxury
Bungalow,1439,5,0,1,3,17,2002,5000,7509000,Standard
Flat,1025,7,2,3,2,18,2019,3000,3542500,Standard
Apartment,501,4,1,3,3,14,1988,4000,2321000,Standard
Flat,874,3,0,4,0,8,2011,3000,2885500,Standard
House,2840,5,1,4,2,7,1994,3500,10325000,Standard
Flat,4505,4,0,3,2,19,2016,3000,13831000,Standard
Apartment,3552,6,0,4,0,0,1992,4000,14612000,Standard
Bungalow,2865,7,0,3,2,3,1984,5000,14775000,Standard
Apartment,2025,1,2,1,0,13,1990,4000,8163000,Standard
Apartment,4976,7,0,1,1,1,1989,4000,20281500,Luxury
Apartment,2146,1,0,2,3,15,1992,4000,8723000,Standard
Bungalow,513,2,2,1,0,2,2020,5000,2693000,Standard
Apartment,2778,7,2,3,2,7,1994,4000,11567000,Standard
Apartment,3655,4,0,4,0,5,2021,4000,14938500,Standard
Apartment,629,1,2,2,2,15,1986,4000,2637000,Standard
House,4314,3,1,4,1,15,2019,3500,15381500,Luxury
Apartment,3716,4,1,3,0,6,2007,4000,15145500,Luxury
Bungalow,3438,3,2,1,1,12,2011,5000,17378500,Luxury
Apartment,4428,7,2,2,3,12,2014,4000,18162000,Luxury
Apartment,2540,3,0,3,2,4,1994,4000,10415000,Standard
Bungalow,527,1,2,2,2,19,2015,5000,2770500,Standard
Apartment,2613,4,0,2,1,17,2000,4000,10715000,Standard
Bungalow,1752,6,1,1,3,14,1985,5000,9115500,Standard
Apartment,4856,5,2,3,0,17,1980,4000,19742000,Luxury
Bungalow,2546,1,0,4,0,1,1983,5000,12879500,Standard
Apartment,4523,1,0,2,2,9,1990,4000,18215000,Luxury
Apartment,4896,6,1,2,1,12,2023,4000,19958500,Luxury
House,3874,4,2,4,1,17,2005,3500,13884500,Standard
House,3966,4,1,3,0,14,2016,3500,14167000,Standard
Apartment,3581,7,0,2,3,11,2002,4000,14768000,Standard
Apartment,4278,3,0,2,3,14,2008,4000,17359000,Luxury
Flat,1129,7,2,2,0,12,2000,3000,3785000,Standard
